Rank, Name, Wins, Games_Played
1,TwitchUwatakashi,4486,11444
2,Ninja,4156,11101
3,E11 BlooTea,3962,9821
4,Fnatic_Ettnix,3958,9212
5,OC LuanzeraMP,3901,8677
6,Sevennoss,3791,8701
7,WBG Ranger,3720,9131
8,COOLER eXzacT,3645,7889
9,Youtube.Uniq,3583,11438
10,MiTH_Chambers,3424,7878
11,Fnatic_Jαrl,3411,7974
12,LostedFPS,3319,7062
13,Twitch_PuZiiyo,3300,6998
14,LP Zaxi,3281,6382
15,Dark,3273,11297
16,MrDoom.,3164,6408
17,Woodzinh,3161,7324
18,mouz cRaBBLe,3108,4601
19,twitch_bogdanakh,3107,8912
20,SypherPK,3065,9662
21,ItsWiKKiD,3053,7162
22,Zaccubus,3023,8606
23,LP Merti,2976,7436
24,Capcorn.Denz,2927,10776
25,kegrider,2873,9209
26,TSM_Hamlinz,2839,7350
27,HighDistortion,2834,13310
28,Copy - TH,2833,10691
29,Player2 Sojí,2832,12047
30,Astral WPH,2813,10864
31,KingRichard215,2776,8737
32,StancodTV,2768,7110
33,unq Kreyzi,2763,6320
34,QLASH CrimiKevin,2752,5697
35,Liquid Strafe,2702,7790
35,Liquid Vivid,2702,6180
37,FaZe Mew,2688,9607
38,Hysteria,2674,8079
39,NxS Agares29,2659,10040
40,Aêrøeu,2656,5533
41,JohnPitterTV,2651,8742
42,Mkers HobbitWho,2649,7976
43,QUASAR Devest,2647,6120
44,LP Tranq,2630,6354
45,Solary Kinstaar,2622,4984
46,ComradeDurachek,2608,5721
47,uP DoNt_m1nd,2583,5813
48,TWITCH cy0x,2571,6583
49,Nate Hill,2568,8647
50,NoU_SloSlayer69,2552,5446
51,TacoSlut.,2551,7374
52,Twitch_henkasa,2541,5444
53,uP Guedes,2535,5975
54,AGO DaaV,2522,5193
55,Apex Summer,2521,6103
56,Bolt Bozento TTV,2519,11215
57,NotTermitis,2505,6834
58,Esselka_TV,2497,6542
59,BD Softe,2493,10932
60,NoU_Pasjidadi,2491,5033
61,Allanx,2475,8382
62,Avxry,2474,11051
63,Semm1234,2456,8871
64,AuqW,2450,6833
65,Twitch_WezL89,2447,11177
66,FLASH.Maoo,2446,6294
66,Eragonist,2446,6794
68,Tomas Welding,2433,7839
69,DrLupo,2422,10185
69,TwitchProspering,2422,6458
71,TTV.Chiiskiies,2403,6901
72,Twitch.babam_ow,2393,5037
73,BRC PULGABØY_,2392,7939
74,Twitch Jmoe161,2389,10445
75,twitchtvswag_,2381,9989
76,Akzente Lft,2373,6044
77,Vitаlity Robi,2372,6689
78,FaZe SpaceLyon,2338,8842
79,Hoootie,2337,8661
80,DS flick1b.tv,2325,7496
81,100 ms,2324,7605
82,FLASH.EnS2,2323,7829
83,Plan A -2300win,2319,10314
84,χanaχ Tahun69,2315,3990
85,TTL Kayn,2310,7036
86,Abêlstan,2308,4823
86,Twitch.DapanoTV,2308,11869
88,Twitch_Dkokholm,2304,6459
89,LVSupreme-,2297,6121
90,Twitch Kronk,2295,5712
91,Twitch AquilaTV,2291,9963
92,VexNguyen,2289,8774
93,mstzera,2283,8379
94,Twitch.ImHoudini,2280,8539
95,exeed Rekins,2278,8632
96,TSM_Myth,2273,8659
97,1023_,2267,7685
98,Shiкai,2266,7730
99,TwitchQuitoooo,2263,5909
100,CLG_Wish,2261,5379
